Round,Beijing Ducks,Beijing Royal Fighters,Fujian Sturgeons,Guangdong Southern Tigers,Guangzhou Loong Lions,Jiangsu Dragons,Jilin Northeast Tigers,Liaoning Flying Leopards,Nanjing Monkey Kings,Ningbo Rockets,Qingdao Eagles,Shandong Hi-Speed Kirin,Shanghai Sharks,Shanxi Loongs,Shenzhen Leopards,Sichuan Blue Whales,Tianjin Pioneers,Xinjiang Flying Tigers,Zhejiang Golden Bulls,Zhejiang Guangsha Lions
1,1028,0,3509,0,1231,0,1440,581,1121,141,1623,365,0,1097,0,0,0,0,0,0
2,1028,0,3509,1027,1593,752,1213,581,1121,1097,1623,1844,270,1097,0,1632,103,2411,0,1315
3,0,0,0,1027,1275,752,2582,627,469,1216,0,365,189,0,1104,310,856,0,1097,1946
4,0,365,631,0,1141,0,0,627,1632,1338,1585,0,121,449,1210,1373,828,856,1097,631
5,1525,797,0,51,1161,941,0,0,1408,272,3325,0,165,820,365,0,0,2998,165,0
6,2065,272,631,51,568,976,0,1315,0,1587,2902,1547,0,469,1594,1335,820,0,152,0
7,3509,856,0,1655,568,270,2551,1123,0,0,0,1585,0,724,1052,1213,358,3228,141,0
8,1693,0,0,449,3284,189,568,1943,237,0,531,310,1067,416,1052,152,1121,3228,0,1123
9,0,1943,1563,103,2189,0,810,2313,237,184,121,0,627,416,0,1679,0,2603,0,103
10,1123,1943,1563,0,449,1036,1159,0,0,85,1542,536,1189,0,0,0,0,1328,1052,1040
11,141,103,0,1894,1844,1260,272,1159,0,152,1632,810,0,0,1623,1124,0,568,62,165
12,1210,1552,2204,0,0,1453,0,189,358,0,0,1693,547,0,1585,1124,449,1048,51,165
13,1943,1542,2204,2274,0,3194,0,1195,864,0,959,365,547,1100,62,1231,1562,3228,1048,141
14,1943,1123,1693,1159,0,2411,1064,0,536,0,272,0,1213,152,0,1048,568,0,0,3362
15,0,0,103,1121,1048,0,310,0,0,864,690,0,62,1210,1157,0,1844,2907,0,3228
16,0,1894,449,0,0,1028,1632,0,820,365,0,681,1190,403,1159,1542,0,1189,644,0
17,1067,51,1562,1275,1048,0,2378,1026,1623,103,644,1453,0,0,1315,0,0,85,644,0
18,1067,1889,0,2378,0,0,0,1026,568,1121,141,272,772,1710,1052,2065,941,3194,1123,1123
19,0,0,0,2544,1593,184,828,2907,104,0,698,797,631,62,0,3509,941,0,1123,365
20,403,0,521,0,547,141,103,2065,1157,864,0,0,165,1655,0,1563,1847,3007,0,310
21,449,0,104,0,1212,121,1894,1679,0,864,551,767,0,1097,1213,1408,1847,189,0,644
22,103,1693,568,1086,1546,0,2544,1338,270,0,0,767,0,1573,85,1408,581,1576,0,0
23,0,638,1693,1086,310,1195,0,0,270,0,551,301,1190,2378,189,0,581,2065,3228,1573
24,0,152,551,3325,0,797,1260,2313,237,1113,0,1546,1190,1124,1157,1525,0,0,2509,1573
25,1889,1067,1267,3386,0,681,2189,2313,121,568,310,0,1661,1026,0,1525,103,0,1040,0
26,1889,2411,810,62,104,1576,2998,2274,189,631,730,0,1661,272,0,0,0,0,767,0
27,1693,2189,810,0,2313,1632,1573,2274,0,1542,547,730,0,1260,1894,0,103,3325,536,0
28,1946,1097,0,1141,1338,531,0,0,0,1679,469,730,0,1562,1894,1661,301,62,237,0
29,272,1123,0,85,1113,0,1573,0,1159,0,810,1373,0,568,0,1661,1594,1104,1123,121
30,856,0,638,1190,0,1168,0,272,627,0,568,2065,1100,1641,0,1275,1894,3362,0,941
31,1894,0,638,0,0,1168,1453,2551,2411,1210,1593,2189,449,0,521,1275,0,0,551,1552
32,1121,551,0,1275,1048,121,1453,568,3007,2411,0,416,449,0,2204,0,301,0,644,1542
33,237,551,1328,1275,1123,1027,0,1946,0,3007,0,0,1260,1124,2582,0,310,2907,0,1052
34,1123,0,1328,0,0,1121,0,1315,0,358,1267,864,1440,2065,1943,2378,547,2907,0,62
35,0,1028,631,1547,1889,189,1440,1315,898,1121,1562,864,0,2189,2411,272,976,0,0,51
36,1889,189,1315,310,0,0,1440,0,898,1121,724,767,152,0,2189,272,2509,0,121,1048
37,1889,898,1189,1585,1132,1168,2544,690,0,0,0,0,152,0,1710,2378,2065,2189,121,141
38,0,0,772,1027,1132,104,2544,310,1426,698,0,767,1067,403,1335,0,1552,449,631,141
39,0,0,752,1027,0,1161,0,797,272,1585,551,365,1889,403,2065,1552,0,2509,2204,1097
40,365,0,1141,0,2551,0,0,0,1159,62,103,365,3284,1036,3386,103,0,0,272,861
41,310,1123,51,1655,2551,0,1587,1189,3007,1104,451,1594,3268,1036,0,1028,1040,0,1315,237
42,551,141,568,1562,0,0,1210,85,2189,0,0,1594,730,0,104,1576,0,2902,1542,0
